,index,address,animal,building_floor,d_to_bank,d_to_coffe,d_to_conv,d_to_metro,elevator,id,loc,metro_count,parking,price,room_floor,room_options,room_size,room_type,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,biddet,d_to_fancy,park,distance_gn,distance_md,d_to_mac,star_bucks,population,elder,elder_ratio,totalbanks,bank_ratio
816,883,서울특별시 서대문구 창천동,False,5,139.0,203.0,90.0,262.0,True,57f5ee079a2c6246d687216f,"[126.935381037, 37.5571912119]",22.0,False,7000.0,5,"[0, 1, 3, 4, 5, 6, 7, 9, 11]",23.1,원룸,1,1,0,1,1,1,1,1,0,1,0,1,0,4.16849441603,3.23510902636,9.01788010359,2.72741119354,0.195647044509,0.172236478685,43615.0666667,6321.46666667,0.144937682085,7.86666666667,0.000180365806312
817,884,서울특별시 동작구 사당동,False,2,244.0,182.0,144.0,154.0,False,57ecb9781619942f1da5872c,"[126.969847816, 37.4836940146]",9.0,False,8500.0,-1,"[8, 4, 6]",36.3,투룸,0,0,0,0,1,0,1,0,1,0,0,0,0,7.94322433381,3.60129941342,3.86317022278,8.86688886971,0.947275423887,0.93529774969,51746.125,6822.5,0.13184562129,8.26666666667,0.000159754313326
818,885,서울특별시 마포구 노고산동,False,15,218.0,204.0,110.0,195.0,True,57e622a3d860a81acd24e039,"[126.935034914, 37.554358286]",21.0,True,11000.0,10,"[0, 1, 4, 6, 7, 8, 11]",39.6,원룸,1,1,0,0,1,0,1,1,1,0,0,1,0,4.27259031043,3.20580389547,8.82242497043,2.85215247776,0.23886732433,0.0959715045937,46551.4117647,5715.76470588,0.122783917591,11.8823529412,0.000255252257466
819,886,서울특별시 광진구 구의동,False,5,296.0,738.0,418.0,747.0,True,57edef46df1b89396fc8caf7,"[127.090120953, 37.5431333454]",9.0,True,26500.0,3,"[0, 8, 6]",52.8,투룸,1,0,0,0,0,0,1,0,1,0,0,0,0,3.50782356175,2.41752171536,8.63768216555,11.2220139731,0.89371587354,0.352667370769,46756.625,5123.75,0.109583401283,8.26666666667,0.00017680203964
820,887,서울특별시 광진구 구의동,False,4,114.0,962.0,105.0,646.0,False,57d0ce30bef5f3262330d11a,"[127.083122731, 37.5424717395]",10.0,False,7000.0,3,"[0, 1, 4, 6, 7, 9, 11]",23.1,원룸,1,1,0,0,1,0,1,1,0,1,0,1,0,3.70810489386,1.92934430577,8.08732148267,10.6346376429,0.681295714568,0.477424618023,46756.625,5123.75,0.109583401283,8.26666666667,0.00017680203964
821,888,서울특별시 노원구 공릉동,False,3,243.0,200.0,48.0,376.0,False,57e48799c0493c2dfb3bf2d2,"[127.078158177, 37.6210489623]",13.0,False,5500.0,3,"[0, 1, 7, 6, 4, 9]",19.8,원룸,1,1,0,0,1,0,1,1,0,1,0,0,0,10.5464232796,8.69282174487,14.7610034047,11.8205659225,0.98299157345,0.802907967984,57678.2,7006.5,0.121475704859,6.7,0.000116161738751
822,889,서울특별시 서대문구 창천동,False,5,117.0,38.0,107.0,449.0,False,575fd14da1c32d089e45665e,"[126.927848457, 37.5614575743]",14.0,False,6000.0,2,"[0, 1, 11, 2, 3, 4, 6, 7, 9]",16.5,원룸,1,1,1,1,1,0,1,1,0,1,0,1,0,4.76043951748,2.64201277228,9.8242968743,3.30907768634,0.844268361369,0.289887534344,43615.0666667,6321.46666667,0.144937682085,7.86666666667,0.000180365806312
823,890,서울특별시 성동구 마장동,False,4,274.0,225.0,197.0,323.0,False,57f8a6b555cb234e578cc4aa,"[127.039488867, 37.5648211195]",22.0,False,6000.0,3,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11]",16.5,원룸,1,1,1,0,1,1,1,1,0,1,1,1,0,4.0387069706,4.63515132203,7.67784556919,6.53390536548,0.594232470116,0.387720281331,24872.0,3271.0,0.131513348344,5.0,0.000201029269862
824,891,서울특별시 서대문구 충정로2가,True,2,112.0,493.0,122.0,167.0,False,5703607700e90528fd719db6,"[126.964793882, 37.5653882998]",15.0,False,3400.0,1,"[0, 1, 6, 7, 8]",9.9,원룸,1,1,0,0,0,0,1,1,1,0,0,0,0,1.49356298662,5.5475366115,8.18860615244,0.225400368541,0.585792224938,0.18113554547,43615.0666667,6321.46666667,0.144937682085,7.86666666667,0.000180365806312
825,892,서울특별시 동대문구 휘경동,False,7,153.0,162.0,0.0,103.0,True,56c67f74ce5e6452c67d2b4b,"[127.057908576, 37.5905783496]",11.0,False,6600.0,6,"[0, 1, 2, 3, 4, 6, 7, 8]",26.4,원룸,1,1,1,1,1,0,1,1,1,0,0,0,0,7.0772316967,6.90317777825,10.9420372737,8.6943149506,0.503278203565,0.159964737957,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
