loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.06402979185135, 37.59344394595949]",투룸,29.7,1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
"[127.0509787759, 37.5635156787]",1.5룸,29.7,2,2,False,False,개별 난방,True,True,True,False,False,False,False,False,True,True,False,False,False,False,6000
"[127.0147506236, 37.496001102]",원룸,21.0,2,2,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,8800.0
"[126.9183417052, 37.5816697084]",쓰리룸,49.5,3,5,True,False,개별 난방,False,False,False,False,False,False,False,True,False,True,False,False,True,False,17000
"[127.05830445464522, 37.5987555537496]",원룸,23.1,-1,2,False,False,개별 난방,False,False,True,True,True,False,False,False,True,True,False,False,False,False,4000
"[126.94978693614458, 37.50190195222249]",원룸,26.4,5,8,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4300.0
"[127.0781343184977, 37.62422766075282]",원룸,16.5,1,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,True,False,False,4400.0
"[127.06395029974715, 37.60111322529545]",원룸,18.2,0,3,False,False,개별 난방,False,False,True,False,False,False,False,False,True,True,False,False,False,False,2800
"[127.05216839683656, 37.56195102927134]",원룸,29.7,-1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3000
"[127.06968796565796, 37.54609163684082]",원룸,16.5,3,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,4800.0
"[127.05869785768827, 37.59213847789215]",원룸,33.0,-1,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,7000.0
"[127.086828783, 37.541726649]",원룸,23.1,-1,4,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,4500.0
"[127.08952583391496, 37.541302967350205]",1.5룸,36.3,2,5,True,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,False,False,15500.0
"[127.05883704711489, 37.59059591024179]",원룸,16.5,-1,7,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,5000.0
"[127.06166283815861, 37.59566885333994]",원룸,23.1,0,4,False,False,개별 난방,False,True,True,True,True,False,False,True,True,False,True,False,True,False,6000.0
"[127.00862018463954, 37.56327409111475]",쓰리룸,59.4,2,5,False,False,개별 난방,False,False,False,False,False,False,False,True,False,True,False,False,False,False,22000.0
"[126.9538982708, 37.5030533115]",원룸,19.8,2,3,False,False,중앙 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,6400.0
"[127.0768033994245, 37.62101381235718]",쓰리룸,33.0,-1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4000
"[127.0649547927, 37.5998476859]",투룸,39.6,1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,4500
"[127.05720132824814, 37.589645266481384]",오피스텔,42.9,10,10,True,True,개별 난방,True,True,True,True,True,True,True,True,True,True,True,True,True,False,15200.0
"[127.0053071738, 37.5780974614]",투룸,39.6,2,3,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9200.0
"[126.91542616152199, 37.5889476774985]",원룸,16.5,8,8,False,True,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,True,False,5000.0
"[126.94923947843257, 37.50203506709796]",원룸,21.5,3,5,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,7500.0
"[127.0731125549171, 37.61826994657788]",원룸,23.099999999999998,3,6,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,False,False,6500.0
"[127.067301949, 37.5454010537]",원룸,23.1,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,3300
