,Unnamed: 0,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price,distance_park,distance_md,distance_gn
1147,1147,57e1fd2bd8f184754becc872,"[127.07443042432581, 37.54491023613199]",원룸,19.8,2,4,True,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,5850.0,1.57383785266,12.5528874079,8.57942471764
1148,1148,57f21d319511862a8cf38b43,"[127.06720074913898, 37.54359550898638]",원룸,9.9,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,True,False,4600.0,1.35202131691,11.7549881409,7.80314082279
1149,1149,561792fc114604457b3723a7,"[127.07177853812888, 37.545456081301744]",원룸,21.4,6,7,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,8000.0,1.53409093703,12.2465587018,8.34011588269
1150,1150,5660f5db71f2ea64839936fb,"[127.06957629493574, 37.54282287776167]",원룸,16.5,2,3,False,False,개별 난방,False,True,True,True,False,False,False,True,True,True,False,False,True,False,4300.0,1.26333834199,12.033579527,8.00219682112
1151,1151,55370aa5e4b0c386131df82e,"[127.0840039549477, 37.541245756576316]",투룸,42.9,5,10,True,True,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,True,False,12000.0,2.02815346845,13.6811612192,9.41213059405
1152,1152,57d12b7224ff1c300eda3fba,"[127.08882849791105, 37.54103319409791]",1.5룸,36.3,1,4,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,13500.0,2.28053708484,14.2280702254,9.91117553422
1153,1153,57e8deeb0b3b4506349f85bb,"[127.06653948939946, 37.543109343806535]",원룸,19.8,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,5000.0,1.32286390568,11.687584285,7.71548690033
1154,1154,57985243733f952665f4e8f9,"[127.07004978822012, 37.54578508311776]",원룸,33.0,2,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,7600.0,1.53832915397,12.0472001617,8.18526002003
1155,1155,57a0550f401665191971f630,"[127.07197733959356, 37.545084748695075]",투룸,39.6,5,5,False,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,18500.0,1.50527638277,12.2736602853,8.34284785191
1156,1156,56bc74fd5e3c453b673cd78d,"[127.07164409693264, 37.546865325200024]",오피스텔,26.4,7,12,True,True,개별 난방,True,True,True,False,True,True,False,True,True,True,False,False,True,False,8200.0,1.65875939047,12.2145440279,8.39227490803
1157,1157,57c3c9accd0c08374a3fb0e3,"[127.06881034108373, 37.54662554285]",원룸,14.9,4,7,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,7000.0,1.61275892427,11.8969231221,8.10455139804
1158,1158,57c5420f32edc64df6433304,"[127.07835498063294, 37.54515637292496]",투룸,39.6,3,4,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,6000.0,1.81149220628,12.9933535074,8.98522932212
