loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.00345430491531, 37.56094978398048]",원룸,26.4,4,4,False,False,개별 난방,False,True,True,True,True,True,True,False,True,False,True,True,True,False,8500.0
"[126.98076935479594, 37.5563351629971]",1.5룸,29.7,4,5,False,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,13600.0
"[127.0174576492565, 37.56312174770761]",쓰리룸,56.1,4,5,True,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18500.0
"[127.01259514130875, 37.56263582846241]",1.5룸,42.9,3,5,True,False,개별 난방,False,False,False,False,False,True,False,True,False,False,False,False,True,False,7500
"[127.01664336616349, 37.566037489131276]",원룸,29.7,4,22,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,True,True,False,9400.0
"[127.02284169315269, 37.56628873150478]",오피스텔,18.4,6,10,True,True,개별 난방,False,True,True,True,True,True,True,True,True,False,True,False,True,False,13500.0
"[127.01664336616349, 37.566037489131276]",오피스텔,19.8,13,20,True,True,개별 난방,False,True,True,False,False,True,True,True,True,False,True,True,True,True,9000.0
"[127.01664336616349, 37.566037489131276]",오피스텔,24.6,8,22,True,True,개별 난방,False,True,True,False,False,True,True,True,True,False,True,True,True,False,9400.0
"[127.0085466247365, 37.55345683101177]",원룸,19.8,3,5,True,False,개별 난방,False,True,True,False,True,True,False,True,False,True,False,False,True,False,7600.0
"[127.0132742377, 37.5625852983]",투룸,42.9,3,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7200.0
"[126.96673392316691, 37.560314450269075]",원룸,19.8,2,5,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,False,False,True,False,12500.0
"[127.01664336616349, 37.566037489131276]",오피스텔,29.7,3,22,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,9400.0
"[127.01664336616349, 37.566037489131276]",원룸,29.2,19,22,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,True,True,False,10100.0
"[127.0135230266, 37.5613887465]",투룸,52.8,3,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7000
"[127.01387610270146, 37.5611039905455]",원룸,23.1,1,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,7300.0
"[127.0229673172, 37.5625477707]",쓰리룸,52.8,1,2,False,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
"[127.00124496611393, 37.55900367453135]",원룸,6.6,5,5,False,False,중앙 난방,False,False,True,False,True,False,False,False,True,False,False,True,False,False,3030
"[127.0002671171575, 37.563299633404846]",원룸,23.1,3,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,8600.0
"[126.96965283488885, 37.563151574063546]",아파트,62.7,17,19,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,27600.0
"[127.0002671171575, 37.563299633404846]",원룸,28.0,14,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,8700.0
"[127.01712347885042, 37.566866336747545]",오피스텔,46.2,14,29,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,15200.0
"[127.0085466247365, 37.55345683101177]",원룸,23.1,3,5,True,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,7600.0
"[126.96822769418286, 37.56081941992014]",투룸,62.7,6,35,True,False,개별 난방,False,True,True,False,False,True,False,True,False,True,False,False,False,True,21800.0
"[127.01850052132643, 37.56947180851639]",투룸,49.5,2,3,False,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5500
"[127.01664336616349, 37.566037489131276]",오피스텔,26.4,6,21,True,True,개별 난방,False,True,True,False,False,False,False,True,False,True,False,True,True,False,9100.0
"[127.0068398525, 37.551669362]",투룸,33.0,2,4,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20300.0
"[127.01664336616349, 37.566037489131276]",오피스텔,29.0,18,22,True,False,개별 난방,False,True,True,False,True,True,False,True,True,True,True,True,True,False,9800.0
"[126.96822769418286, 37.56081941992014]",투룸,82.5,17,35,True,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,True,27500.0
