,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
95,57c6ad7cf29f2829377893a9,"[127.01190906539175, 37.49034309761028]",투룸,39.6,3,6,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,15600.0
96,5714b5fc9f09ff7966b93564,"[127.01509697908959, 37.48635307027442]",오피스텔,30.4,11,14,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,9800.0
97,57c7c412c26b29201e69ae9c,"[127.02068512984077, 37.49556412467148]",오피스텔,24.1,2,15,True,True,개별 난방,True,True,True,True,True,True,True,True,True,False,True,True,True,False,12565.0
98,5789ea72c14b163bdfcde6e1,"[127.02068512984077, 37.49556412467148]",오피스텔,24.8,8,15,True,True,개별 난방,True,True,True,False,True,True,True,True,True,True,True,True,True,True,11700.0
99,57c6b1b422d37059e3379141,"[127.01190906539175, 37.49034309761028]",투룸,39.6,2,6,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,17600.0
100,57eb284e6e7fff1b37ec7e2e,"[127.0126098484, 37.4886635465]",투룸,47.8,3,5,True,True,개별 난방,True,True,False,False,False,False,False,True,True,False,False,False,False,False,27700.0
101,574ee4360492213f71d6e567,"[127.01515120637589, 37.48612600926097]",오피스텔,26.4,8,13,True,True,개별 난방,True,True,True,False,True,True,True,True,True,False,False,True,True,False,8378.0
102,57e1253d5df38a2af95839b0,"[127.01576754468032, 37.492047351781295]",원룸,26.4,4,5,True,False,중앙 난방,False,True,True,True,True,True,False,True,True,True,False,False,True,False,7000.0
103,57d6504a9d544673f6e6e4b0,"[127.0125560641, 37.491593629]",투룸,49.5,2,3,True,False,개별 난방,True,False,False,False,False,False,False,True,False,False,False,False,False,False,13800.0
104,57c7c646139f913ecb0d3f1c,"[127.00996413416381, 37.49004053909274]",원룸,23.1,3,5,True,True,개별 난방,True,True,True,False,True,False,False,True,True,False,True,False,True,False,10500.0
105,56df96a452d2f0422228e5ad,"[126.93812229349265, 37.477572818072055]",원룸,23.1,5,8,True,True,개별 난방,True,True,True,True,True,True,False,True,True,True,False,False,True,False,6000.0
