,id,loc,fanc,distance_gn,distance_md,distance_park,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
1976,57d4e10dae54e502b0f9add4,"[126.94973208154818, 37.50275247825435]",6.77070566055,6.68563038599,5.85668302049,2.98398385642,원룸,19.8,1,5,1,1,개별 난방,0,1,1,1,1,1,1,1,1,0,1,1,1,0,4200.0
1977,579817dd2066ab2694865790,"[127.0546390588021, 37.591214206779625]",6.00560940896,9.89040073555,10.4973463016,5.94926028026,원룸,16.5,4,5,0,0,개별 난방,0,1,1,1,1,0,0,0,1,0,1,0,1,0,5000.0
1978,57bbfd17ec040750f680c686,"[127.06144353070698, 37.59886928814118]",6.91884508648,10.9035489275,11.4319854631,6.47864430194,원룸,21.5,3,7,1,1,개별 난방,0,1,1,1,1,1,0,1,1,0,1,0,1,0,8200.0
1979,57ea16e455015947a0194bc0,"[126.9147408595, 37.5862297912]",7.88834336137,13.2805088885,6.13793862131,3.33836920763,투룸,49.5,2,5,1,0,개별 난방,0,0,0,0,0,0,0,1,0,0,1,0,1,0,18500.0
1980,56cbcbb3c336596fef9833de,"[127.05890074081516, 37.59095987929001]",6.1357300276,10.1386989233,10.9637337854,5.80988666845,투룸,39.6,-1,3,0,0,개별 난방,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4500.0
1981,57ea2bfe72cfa5341fd83878,"[127.06043710505739, 37.59220247156532]",6.30531239198,10.3326158515,11.1607896635,5.8898359747,원룸,23.1,-1,4,0,0,개별 난방,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3300.0
1982,54521aa3e4b0af71c1bd1328,"[127.08067523606853, 37.62327450865786]",9.87320580955,14.0000882817,14.2559423811,8.06083577086,원룸,19.8,2,5,0,0,개별 난방,0,1,1,0,1,1,0,1,1,0,1,0,0,0,5400.0
1983,57cf7ef8f356d94d9becbab9,"[127.07824300657646, 37.61984879075411]",9.46533137524,13.5821332867,13.8796452671,7.95947867565,원룸,19.8,-1,3,0,0,개별 난방,0,1,1,0,1,1,0,1,1,0,1,0,1,0,5400.0
1984,57f20e97347afe5bb365b748,"[127.08796970299527, 37.542017728432725]",3.20671873733,9.85553663313,14.1182960264,2.33241557845,투룸,44.6,1,2,0,0,개별 난방,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6500.0
1985,57d637d0debb3867bb52554d,"[126.9523523584206, 37.50113896190537]",6.74298461181,6.38356574342,5.91659428671,2.78353289072,1.5룸,23.1,2,4,0,0,개별 난방,0,1,1,0,1,1,0,1,1,0,1,1,1,0,10100.0
1986,57e0df6ee940033c47e87454,"[127.0579223222179, 37.59078376902699]",6.08233869437,10.0623022517,10.8514749595,5.81754974321,원룸,26.4,5,5,0,1,개별 난방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000.0
1987,57a9416f787bfe19675bd0da,"[127.0598662349314, 37.5919576926908]",6.26063260422,10.2768626553,11.0922268039,5.87901509509,투룸,33.0,-1,2,0,0,개별 난방,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4200.0
1988,57f3125a1e62b620a2c69bf4,"[127.0542339764, 37.5884681691]",5.75011031338,9.65257202696,10.3936167031,5.7205917132,원룸,16.5,4,4,0,0,개별 난방,0,1,1,1,1,0,1,1,1,1,0,0,1,0,5500.0
1989,55c056b46668cf228637a085,"[127.06043710505739, 37.59220247156532]",6.30531239198,10.3326158515,11.1607896635,5.8898359747,원룸,23.1,-1,4,0,0,개별 난방,0,1,1,0,0,0,0,1,1,1,0,0,0,0,3500.0
1990,57e0ff88a9696e561b46797e,"[127.082094101022, 37.53725386826286]",3.33604143184,9.06903463005,13.5263814264,1.65467437617,원룸,33.0,5,10,1,1,개별 난방,1,1,1,0,0,1,0,1,1,1,0,0,1,0,12800.0
1991,57f238e1c0a90d52466d4433,"[127.063988036, 37.597574113]",6.91655967729,10.9697899375,11.6776493374,6.32703802226,원룸,19.8,-1,2,0,0,개별 난방,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2700.0
1992,56d560a1ac859d26ab12e1d0,"[127.07164409693264, 37.546865325200024]",3.97661689455,8.39227490803,12.2145440279,1.65875939047,오피스텔,19.8,7,10,1,1,개별 난방,1,1,1,0,1,1,0,1,1,1,0,0,1,0,7500.0
1993,57cfbca181ce031eacc2a454,"[127.05705272397906, 37.59076256874568]",6.04804944576,10.0053332512,10.7546162835,5.83827877572,원룸,19.8,5,6,0,1,개별 난방,0,1,1,1,1,1,0,1,1,1,1,1,1,0,7600.0
1994,567518be8b91e56ed48dd7f0,"[127.03979002487544, 37.560712474453105]",2.96553700411,6.61418259707,8.49163646556,4.06052817496,원룸,23.1,2,4,0,0,개별 난방,0,1,1,0,0,0,0,1,1,1,0,0,0,0,6000.0
1995,57e4f837f40238464bec6ba1,"[127.0808749103, 37.6235590839]",9.90700582178,14.0346534358,14.2870611577,8.07032773729,원룸,16.5,2,3,0,0,개별 난방,0,1,1,0,1,1,0,1,1,0,1,0,1,0,4400.0
