period,district,dong,population,elder
2016.2/4,서초구,반포3동,20771,2132
2016.2/4,서초구,반포4동,20635,2150
2016.2/4,서초구,방배본동,21918,2547
2016.2/4,서초구,방배1동,17493,2163
2016.2/4,서초구,방배2동,28145,3715
2016.2/4,서초구,방배3동,24311,3188
2016.2/4,서초구,방배4동,26421,3018
2016.2/4,서초구,양재1동,47929,5239
2016.2/4,서초구,양재2동,23844,2229
2016.2/4,서초구,내곡동,19084,2542
2016.2/4,강남구,소계,576413,61178
2016.2/4,강남구,신사동,18525,2581
2016.2/4,강남구,논현1동,25170,2524
2016.2/4,강남구,논현2동,22845,2623
2016.2/4,강남구,삼성1동,15497,1818
2016.2/4,강남구,삼성2동,31227,2831
2016.2/4,강남구,대치1동,24475,1863
2016.2/4,강남구,대치4동,21280,1713
2016.2/4,강남구,역삼1동,36615,3155
2016.2/4,강남구,역삼2동,36242,3067
2016.2/4,강남구,도곡1동,22828,2260
2016.2/4,강남구,도곡2동,35159,3635
2016.2/4,강남구,개포1동,21649,2724
2016.2/4,강남구,개포4동,19007,1776
2016.2/4,강남구,일원본동,25240,2037
2016.2/4,강남구,일원1동,17483,2492
2016.2/4,강남구,일원2동,16591,2224
2016.2/4,강남구,수서동,15773,3160
2016.2/4,강남구,세곡동,43977,5015
2016.2/4,강남구,압구정동,28734,4268
2016.2/4,강남구,청담동,31066,3522
2016.2/4,강남구,대치2동,42221,3701
2016.2/4,강남구,개포2동,24809,2189
2016.2/4,송파구,소계,662605,69519
2016.2/4,송파구,풍납1동,18575,2494
2016.2/4,송파구,풍납2동,26046,2788
2016.2/4,송파구,거여1동,15052,1791
2016.2/4,송파구,거여2동,20999,2837
2016.2/4,송파구,마천1동,23110,3450
2016.2/4,송파구,마천2동,21247,3078
2016.2/4,송파구,방이1동,16352,1628
2016.2/4,송파구,방이2동,25810,2542
2016.2/4,송파구,오륜동,19714,1873
2016.2/4,송파구,오금동,37169,4122
2016.2/4,송파구,송파1동,26933,2695
2016.2/4,송파구,송파2동,22150,2205
2016.2/4,송파구,석촌동,35468,3557
2016.2/4,송파구,삼전동,34125,3107
2016.2/4,송파구,가락본동,28677,2757
2016.2/4,송파구,가락1동,941,111
2016.2/4,송파구,가락2동,35269,3038
2016.2/4,송파구,문정1동,21871,2174
2016.2/4,송파구,문정2동,19058,2575
2016.2/4,송파구,장지동,35921,3497
2016.2/4,송파구,위례동,14349,825
