week1_pop,comp_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
76056,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,137,7.29,320,2869,264
34897,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,144,8.44,36,945,53
70123,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,83,2.9,1610,9148,380
58891,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8.31,335,998,362
29879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,187,416,248
33621,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,8.91,301,6640,54
52964,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,30,7.84,292,5748,198
44150,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,8.49,86,1682,333
44918,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.66,131,1296,185
13327,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.22,18,305,18
13257,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.08,2452,8929,20
48056,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,146,9.23,26,380,305
43091,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24,8.97,112,514,175
9715,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.38,125,633,56
42245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.52,135,613,252
24829,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.84,93,1727,65
9743,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,8,306,46
18539,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,52,9.21,28,483,46
35883,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,169,3985,193
10202,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.41,78,1035,74
21444,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.38,210,1222,97
37446,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,89,7.86,104,1335,390
19272,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.53,124,1192,212
23706,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.88,126,3879,57
11475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,104,1618,35
