week1_pop,comp1_score,comp2_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
1,105645636.0000 ,451669.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,5.0000 ,0.0000 ,9.2800 ,959.0000 ,19766.0000 ,577.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,97.0000 ,9.3900 ,1308.0000 ,6176.0000 ,661.0000 
1,105645636.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,60.0000 ,8.4600 ,237.0000 ,5113.0000 ,693.0000 
1,69620521.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,97.0000 ,9.0000 ,1478.0000 ,7489.0000 ,580.0000 
1,88946120.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,74.0000 ,254.0000 ,0.0000 ,0.0000 ,0.0000 ,595.0000 
1,105645636.0000 ,10107002.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,93.0000 ,5.6100 ,3152.0000 ,15718.0000 ,612.0000 
1,69620521.0000 ,2434404.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,90.0000 ,9.2500 ,524.0000 ,5205.0000 ,705.0000 
1,69620521.0000 ,2841788.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,0.0000 ,94.0000 ,5.6400 ,2677.0000 ,17219.0000 ,633.0000 
1,0.0000 ,2711083.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,28.0000 ,9.1700 ,285.0000 ,8499.0000 ,577.0000 
1,105645636.0000 ,9373495.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,68.0000 ,35.0000 ,8.4500 ,339.0000 ,6179.0000 ,669.0000 
1,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,1.0000 ,1.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,9.6100 ,31.0000 ,223.0000 ,24.0000 
1,1764.0000 ,1221420.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,32.0000 ,285.0000 ,8.5700 ,553.0000 ,3728.0000 ,676.0000 
1,69620521.0000 ,6661803.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,45.0000 ,145.0000 ,8.2900 ,556.0000 ,8397.0000 ,892.0000 
